Date,home_team,away_team,total_runs,home_runs,away_runs,home_off_roll5,home_def_roll5,home_off_roll10,home_def_roll10,home_off_roll20,home_def_roll20,away_off_roll5,away_def_roll5,away_off_roll10,away_def_roll10,away_off_roll20,away_def_roll20,pred_home_runs,lambda_home,lambda_away,p_over_poisson,actual_total,actual_over,prob_bucket,p_over_negbin,prob_bucket_nb,lambda_home_cal,lambda_away_cal,p_over_cal
2025-08-15,LAD,SDP,5.0,3.0,2.0,5.4,4.0,4.7,3.8,4.5,3.7,5.6,3.0,4.9,3.5,4.7,3.25,4.222150776816991,4.222150776816991,4.165391626693847,0.4591,5.0,0,"(0.45, 0.5]",0.4547,"(0.45, 0.5]",4.222150776816985,4.16539162669384,0.4475
2025-08-15,COL,ARI,7.0,4.0,3.0,3.8,5.8,3.1,8.6,4.3,8.25,7.2,3.8,6.3,3.1,4.05,4.2,4.108107034524543,4.108107034524543,6.530496664042247,0.7273,7.0,0,"(0.65, 1.0]",0.6459,"(0.6, 0.65]",4.1081070345245365,6.5304966640422375,0.6591
2025-08-15,CLE,ATL,2.0,0.0,2.0,4.8,5.4,4.9,4.4,5.35,4.0,7.0,5.8,5.7,5.3,4.8,5.8,4.769159712003646,4.769159712003646,4.423783158826724,0.5688,2.0,0,"(0.55, 0.6]",0.5155,"(0.5, 0.55]",4.769159712003639,4.4237831588267165,0.5289
2025-08-15,ATH,LAA,13.0,10.0,3.0,5.2,4.0,5.5,3.8,5.35,3.15,6.0,5.6,5.0,4.7,4.4,4.8,4.615712913124623,4.615712913124623,4.138070278311594,0.5133,13.0,1,"(0.5, 0.55]",0.478,"(0.45, 0.5]",4.615712913124616,4.138070278311588,0.4902
2025-08-15,SFG,TBR,13.0,6.0,7.0,1.0,6.4,3.8,4.4,4.2,5.0,4.4,5.0,3.7,4.3,3.6,4.65,4.37357190473396,4.37357190473396,4.308855409941193,0.5012,13.0,1,"(0.5, 0.55]",0.4753,"(0.45, 0.5]",4.373571904733953,4.308855409941186,0.4698
2025-08-15,MIN,DET,7.0,0.0,7.0,3.2,4.4,4.3,4.4,4.1,5.1,4.4,4.4,4.1,4.7,4.7,4.75,4.457520557645194,4.457520557645194,4.414089877256685,0.5267,7.0,0,"(0.5, 0.55]",0.492,"(0.45, 0.5]",4.457520557645187,4.414089877256678,0.4983
2025-08-15,CHC,PIT,5.0,2.0,3.0,3.4,2.4,3.1,2.9,3.9,3.9,3.0,9.8,3.3,6.7,4.85,5.45,4.943262550065018,4.943262550065018,3.8309530563101055,0.5146,5.0,0,"(0.5, 0.55]",0.4873,"(0.45, 0.5]",4.94326255006501,3.8309530563100997,0.4814
2025-08-15,BOS,MIA,3.0,2.0,1.0,6.6,4.0,6.3,3.8,5.3,3.7,5.4,6.4,4.8,5.9,4.7,4.85,4.92083866978434,4.92083866978434,4.165391626693847,0.5472,3.0,0,"(0.5, 0.55]",0.5134,"(0.5, 0.55]",4.920838669784332,4.16539162669384,0.518
2025-08-15,NYM,SEA,20.0,9.0,11.0,6.4,6.8,5.3,6.2,4.7,4.9,4.0,3.2,4.8,3.4,3.85,3.5,4.22269610966,4.22269610966,5.15584158662408,0.5881,20.0,1,"(0.55, 0.6]",0.5493,"(0.5, 0.55]",4.222696109659994,5.155841586624072,0.5533
2025-08-15,TOR,TEX,11.0,6.0,5.0,2.8,3.8,6.4,3.2,6.05,5.0,2.2,5.0,2.2,4.3,3.65,3.6,4.605231997161203,4.605231997161203,3.8412058915606497,0.4611,11.0,1,"(0.45, 0.5]",0.4652,"(0.45, 0.5]",4.605231997161196,3.841205891560644,0.4531
2025-08-16,STL,NYY,20.0,8.0,12.0,2.8,3.4,3.4,4.3,3.4,4.3,4.2,3.4,3.2,3.4,4.15,5.0,4.07228886396657,4.07228886396657,4.319206728444499,0.4659,20.0,1,"(0.45, 0.5]",0.452,"(0.45, 0.5]",4.0722888639665635,4.319206728444492,0.4494
2025-08-16,TOR,TEX,16.0,14.0,2.0,3.8,3.0,6.6,3.5,5.95,5.05,3.0,4.4,2.7,4.3,3.7,3.85,4.592401802732053,4.592401802732053,3.958554075331339,0.4828,16.0,1,"(0.45, 0.5]",0.4618,"(0.45, 0.5]",4.592401802732046,3.9585540753313326,0.4666
2025-08-16,WSN,PHI,2.0,2.0,0.0,4.4,6.0,3.6,4.4,4.0,6.05,2.6,4.0,3.5,3.0,4.75,3.75,4.051722252254557,4.051722252254557,4.418933860169854,0.4777,2.0,0,"(0.45, 0.5]",0.4596,"(0.45, 0.5]",4.05172225225455,4.4189338601698465,0.4575
2025-08-16,SFG,TBR,3.0,1.0,2.0,1.8,7.0,3.2,4.7,4.2,4.95,5.0,4.8,4.4,4.6,3.75,4.8,4.4456760170671314,4.4456760170671314,4.450241462942636,0.5309,3.0,0,"(0.5, 0.55]",0.5,"(0.45, 0.5]",4.445676017067124,4.450241462942629,0.5016
2025-08-16,LAD,SDP,6.0,6.0,0.0,5.0,4.2,5.0,3.6,4.4,3.7,5.6,1.6,4.7,3.7,4.7,3.35,4.256537489523576,4.256537489523576,4.085645947354588,0.4522,6.0,0,"(0.45, 0.5]",0.4374,"(0.0, 0.45]",4.25653748952357,4.085645947354582,0.4354
2025-08-16,BOS,MIA,12.0,7.0,5.0,5.0,3.8,5.8,3.6,5.35,3.55,4.4,5.2,4.6,5.4,4.5,4.9,4.795225622217804,4.795225622217804,4.06776083578787,0.5243,12.0,1,"(0.5, 0.55]",0.4963,"(0.45, 0.5]",4.795225622217797,4.067760835787864,0.4945
2025-08-16,ATH,LAA,9.0,7.0,2.0,5.0,4.0,6.1,3.5,5.8,3.2,5.6,6.4,5.3,5.6,4.3,4.95,4.909030853415418,4.909030853415418,4.010998845228862,0.536,9.0,1,"(0.5, 0.55]",0.5051,"(0.5, 0.55]",4.90903085341541,4.010998845228856,0.5019
2025-08-16,NYM,SEA,4.0,3.0,1.0,7.4,7.6,5.0,6.7,5.0,5.35,4.8,4.2,5.5,4.0,4.4,3.65,4.3997480755885565,4.3997480755885565,5.476801078993682,0.654,4.0,0,"(0.65, 1.0]",0.5898,"(0.55, 0.6]",4.399748075588549,5.476801078993673,0.589
2025-08-16,CHC,PIT,4.0,3.0,1.0,2.0,2.8,2.8,2.9,3.7,4.05,3.4,9.8,3.1,6.5,4.85,5.55,4.862460080943258,4.862460080943258,3.8309530563101055,0.4999,4.0,0,"(0.45, 0.5]",0.4762,"(0.45, 0.5]",4.86246008094325,3.8309530563100997,0.4832
2025-08-16,COL,ARI,17.0,10.0,7.0,3.4,3.8,3.4,7.4,4.2,8.4,6.6,3.6,5.9,3.3,3.95,4.25,4.1415649340244265,4.1415649340244265,5.802603405522287,0.6655,17.0,1,"(0.65, 1.0]",0.5999,"(0.55, 0.6]",4.14156493402442,5.802603405522278,0.5955
2025-08-16,CLE,ATL,11.0,1.0,10.0,4.2,5.6,4.4,4.2,4.95,4.0,5.8,4.6,5.7,4.6,4.45,5.55,4.5396782190314795,4.5396782190314795,4.305904695467007,0.5216,11.0,1,"(0.5, 0.55]",0.4975,"(0.45, 0.5]",4.539678219031472,4.3059046954669995,0.4914
2025-08-16,KCR,CHW,8.0,6.0,2.0,5.4,3.6,4.7,4.8,5.4,4.75,3.4,3.2,3.7,5.2,4.65,4.75,4.749856665520685,4.749856665520685,4.583054941689311,0.5801,8.0,0,"(0.55, 0.6]",0.5434,"(0.5, 0.55]",4.749856665520678,4.583054941689304,0.5572
2025-08-16,MIN,DET,13.0,5.0,8.0,1.4,5.0,3.9,4.6,3.75,5.4,5.0,3.0,4.8,4.5,5.0,4.45,4.366347273847616,4.366347273847616,4.529958882038618,0.5375,13.0,1,"(0.5, 0.55]",0.5037,"(0.5, 0.55]",4.366347273847609,4.529958882038611,0.4907
2025-08-17,SFG,TBR,8.0,7.0,1.0,2.0,5.8,2.9,4.4,4.0,4.6,4.8,3.8,4.5,4.2,3.4,4.3,4.325594675398813,4.325594675398813,4.289993188220401,0.4995,8.0,0,"(0.45, 0.5]",0.4678,"(0.45, 0.5]",4.325594675398806,4.289993188220394,0.469
2025-08-17,CHC,PIT,7.0,4.0,3.0,2.2,2.4,2.9,2.7,3.65,3.7,2.0,7.6,3.1,6.0,4.5,5.45,4.725136223179588,4.725136223179588,3.72887145708434,0.4708,7.0,0,"(0.45, 0.5]",0.4457,"(0.0, 0.45]",4.725136223179581,3.728871457084334,0.456
2025-08-17,KCR,CHW,8.0,6.0,2.0,6.2,4.0,5.1,4.6,5.65,4.7,2.6,3.6,3.4,5.0,4.6,4.85,4.731242755829479,4.731242755829479,4.4903854637103136,0.5694,8.0,0,"(0.55, 0.6]",0.53,"(0.5, 0.55]",4.731242755829472,4.4903854637103064,0.5339
2025-08-17,HOU,BAL,12.0,0.0,12.0,3.8,5.8,4.3,5.1,3.85,5.05,3.6,2.0,3.2,4.2,5.25,3.85,4.307530586051533,4.307530586051533,4.780393912259959,0.5541,12.0,1,"(0.55, 0.6]",0.5251,"(0.5, 0.55]",4.307530586051526,4.780393912259952,0.5212
2025-08-17,MIN,DET,9.0,8.0,1.0,2.4,6.2,3.9,5.0,3.9,5.55,4.8,3.0,5.0,4.7,5.2,4.15,4.432717816550795,4.432717816550795,4.729223072621134,0.554,9.0,1,"(0.55, 0.6]",0.5259,"(0.5, 0.55]",4.432717816550788,4.729223072621127,0.5236
2025-08-17,COL,ARI,11.0,6.0,5.0,5.0,4.6,4.0,7.1,4.4,8.5,5.4,4.4,6.0,3.9,4.15,4.45,4.3031929724919395,4.3031929724919395,5.661552525109294,0.666,11.0,1,"(0.65, 1.0]",0.6051,"(0.6, 0.65]",4.3031929724919324,5.661552525109285,0.6007
2025-08-17,TOR,TEX,14.0,4.0,10.0,5.6,2.6,6.5,3.6,6.1,4.95,3.0,6.6,2.6,5.3,3.75,4.45,4.870001859008267,4.870001859008267,4.001386171149169,0.5275,14.0,1,"(0.5, 0.55]",0.4952,"(0.45, 0.5]",4.870001859008259,4.0013861711491625,0.5071
2025-08-17,LAD,SDP,9.0,5.0,4.0,4.4,4.0,5.3,3.6,4.35,3.2,4.4,2.4,4.2,3.5,4.55,3.45,4.2045186788990145,4.2045186788990145,4.0722247602958275,0.441,9.0,1,"(0.0, 0.45]",0.4315,"(0.0, 0.45]",4.204518678899008,4.072224760295821,0.4407
2025-08-17,STL,NYY,12.0,4.0,8.0,3.8,5.4,3.9,5.3,3.35,4.55,6.4,3.6,4.4,4.0,4.7,5.2,4.201804453288041,4.201804453288041,4.815253659184077,0.5513,12.0,1,"(0.55, 0.6]",0.5001,"(0.5, 0.55]",4.201804453288035,4.81525365918407,0.5198
