Date,home_team,away_team,total_runs,home_runs,away_runs,home_off_roll5,home_def_roll5,home_off_roll10,home_def_roll10,home_off_roll20,home_def_roll20,away_off_roll5,away_def_roll5,away_off_roll10,away_def_roll10,away_off_roll20,away_def_roll20,game_date,home_SP_name,home_SP_K_pct_talent,home_SP_BB_pct_talent,home_SP_whiff_pct_talent,away_SP_name,away_SP_K_pct_talent,away_SP_BB_pct_talent,away_SP_whiff_pct_talent,home_bp_K_pct_roll10,home_bp_BB_pct_roll10,home_bp_whiff_pct_roll10,home_bp_K_pct_talent,home_bp_BB_pct_talent,home_bp_whiff_pct_talent,away_bp_K_pct_roll10,away_bp_BB_pct_roll10,away_bp_whiff_pct_roll10,away_bp_K_pct_talent,away_bp_BB_pct_talent,away_bp_whiff_pct_talent
2025-06-20,PIT,TEX,8.0,2.0,6.0,2.6,4.6,3.4,3.5,3.7,3.65,2.0,3.6,5.3,3.3,4.15,2.85,2025-06-20,Braxton Ashcraft,0.2519841269841269,0.1249999999999999,0.169753086419753,Jacob deGrom,0.2562657136913429,0.0566369728669499,0.2712896217371108,0.20268366995921175,0.05814536340852128,0.20810663111398403,0.2092912864120967,0.0826102039433174,0.23480367012382009,0.20204179438524786,0.03973915869077158,0.24224183880878178,0.22797233773053693,0.07755583217373453,0.2136974596545021
2025-06-21,PIT,TEX,5.0,2.0,3.0,2.0,5.4,3.1,3.7,3.55,3.65,2.6,3.8,5.4,3.5,4.4,2.85,2025-06-21,Mitch Keller,0.1773559666313289,0.0593920518558199,0.1760618904577151,Kumar Rocker,0.1925162957670697,0.065849200678922,0.2304192150056811,0.20053055991136484,0.07106402369560262,0.20461456762192057,0.20833171206935383,0.08391557207324982,0.2346381247566938,0.1983787907222442,0.03973915869077158,0.2333287953305209,0.2269706325429101,0.07650778038760299,0.2128366831726845
2025-06-22,PIT,TEX,11.0,8.0,3.0,2.0,5.4,3.1,3.9,3.65,3.55,2.8,4.0,5.3,3.5,4.45,2.95,2025-06-22,Bailey Falter,0.1563620506612833,0.0848397690213546,0.1540293899939803,Jack Leiter,0.1932534930709034,0.115869631399761,0.1976614193324264,0.19219722657803148,0.08773069036226928,0.20961456762192054,0.20887285866585573,0.08499026161342407,0.23548698027933415,0.2233787907222442,0.03140582535743825,0.26221768421940983,0.2283888018867824,0.07548767664910161,0.2153321940637154
2025-06-27,PIT,NYM,10.0,9.0,1.0,4.0,4.6,3.0,5.0,3.25,4.05,3.6,4.0,3.2,5.5,4.55,4.55,2025-06-27,Mitch Keller,0.1804757641714163,0.0613618667966493,0.1754746889707745,David Peterson,0.2052227275607359,0.0801710511710511,0.222955590212829,0.17994836318365726,0.07480491186373536,0.2065064556243809,0.20873153682088552,0.08325696807884146,0.23453846242661675,0.2335434173669467,0.09395424836601307,0.23516393606866753,0.2483480889682524,0.08805241774389469,0.25035668186952975
2025-06-28,PIT,NYM,11.0,9.0,2.0,5.4,4.2,3.7,4.8,3.5,3.8,3.6,4.4,3.3,5.5,4.35,4.85,2025-06-28,Bailey Falter,0.1490894224949531,0.09203728345752,0.1560304600961007,Paul Blackburn,0.1283539731682146,0.0695820433436532,0.1835894718247659,0.20137693461222872,0.08194776900659251,0.19927568639361173,0.20967035083178062,0.08311271933920403,0.23314165190921898,0.22243230625583563,0.09673202614379084,0.2337633758445779,0.24599696051199996,0.08833362132154367,0.24945563194716103
2025-06-30,PIT,STL,7.0,7.0,0.0,7.0,3.4,5.4,4.2,4.4,3.8,4.2,3.4,4.9,3.5,4.7,3.85,2025-06-30,Andrew Heaney,0.1763376126691343,0.0815846482422569,0.1846082467122337,Erick Fedde,0.1431088151324644,0.1039826330572593,0.1548703050347787,0.21484549444995688,0.0755109873973971,0.2059874759481432,0.2100631122072241,0.08195486313162036,0.2321276362778496,0.24433739029848867,0.11053149177291051,0.2444228521667719,0.2003239340490124,0.07638536313280894,0.22075207607579816
2025-07-01,PIT,STL,1.0,1.0,0.0,7.8,1.6,5.9,3.3,4.65,3.4,4.2,3.2,4.4,3.8,4.45,4.2,2025-07-01,Paul Skenes,0.265463067192102,0.0725719056423054,0.2768110274550047,Andre Pallante,0.1603644036116862,0.0797212157809983,0.2204235681363067,0.20734549444995692,0.06884432073073044,0.20551128547195274,0.20906236971066852,0.08099068827124835,0.2313575072236004,0.26767072363182204,0.09803149177291051,0.23966094740486713,0.20270103007223844,0.07547601357170407,0.22039164886627902
2025-07-02,PIT,STL,5.0,5.0,0.0,7.6,0.8,5.8,2.7,4.45,3.2,4.2,2.8,3.8,3.8,4.35,4.2,2025-07-02,Mitch Keller,0.1805547299153437,0.0604261420118197,0.1712800994234741,Sonny Gray,0.2657276192714172,0.0465332026065721,0.243848689451293,0.2113561896371227,0.06830956137244167,0.18995572991639717,0.20868339550746648,0.0821009196661791,0.22944249744968256,0.2510040569651554,0.08136482510624385,0.2406178852039102,0.20227709638511404,0.07458806047086049,0.2210073620881731
2025-07-18,PIT,CHW,11.0,1.0,10.0,2.6,4.6,2.1,4.0,3.95,3.35,2.8,5.0,3.4,4.7,3.25,4.2,2025-07-18,Bailey Falter,0.1483560049080307,0.0877807700293902,0.1601753271241163,Tyler Alexander,0.1745821400398059,0.0534325035926866,0.1480394806367292,0.21327161190064414,0.042616142817755706,0.24513098892471857,0.20916133471508916,0.07798792207780167,0.2310767153116655,0.23431938431938432,0.07941979316979315,0.2326870280590073,0.2121340690342455,0.09237651126212307,0.22708359040872153
2025-07-19,PIT,CHW,14.0,4.0,10.0,2.2,5.8,1.7,5.0,3.9,3.7,4.0,4.0,4.3,4.2,3.55,4.0,2025-07-19,Carmen Mlodzinski,0.1799544662209135,0.0618684495329232,0.1979333400636754,Adrian Houser,0.1684601279853653,0.0805367247679424,0.186050986050986,0.21816050078953303,0.04439392059553349,0.25038098892471855,0.20865451683142847,0.07965814968524701,0.2311687079373184,0.2093193843193843,0.10441979316979315,0.2417779371499164,0.2125204560849165,0.09398491420842793,0.22847698605390154
