game_date,game_pk,bp_batters_faced,bp_strikeouts,bp_walks,bp_swings,bp_whiffs,bp_pitches,team,bp_K_pct,bp_BB_pct,bp_whiff_pct
2025-06-21,777410,9,4,0,21,9,35,AZ,0.4444444444444444,0.0,0.42857142857142855
2025-06-22,777399,10,3,1,22,5,43,AZ,0.3,0.1,0.22727272727272727
2025-06-23,777393,11,4,2,23,10,45,AZ,0.36363636363636365,0.18181818181818182,0.43478260869565216
2025-06-24,777383,15,1,2,25,4,53,AZ,0.06666666666666667,0.13333333333333333,0.16
2025-06-25,777370,11,0,0,22,4,41,AZ,0.0,0.0,0.18181818181818182
2025-06-27,777332,19,6,0,42,10,70,AZ,0.3157894736842105,0.0,0.23809523809523808
2025-06-28,777318,21,7,1,37,10,85,AZ,0.3333333333333333,0.047619047619047616,0.2702702702702703
2025-06-29,777303,19,4,6,24,3,78,AZ,0.21052631578947367,0.3157894736842105,0.125
2025-06-30,777291,9,3,0,11,3,28,AZ,0.3333333333333333,0.0,0.2727272727272727
2025-07-01,777278,7,2,0,13,2,25,AZ,0.2857142857142857,0.0,0.15384615384615385
2025-07-02,777270,18,2,2,30,4,80,AZ,0.1111111111111111,0.1111111111111111,0.13333333333333333
2025-07-03,777256,15,3,0,33,6,54,AZ,0.2,0.0,0.18181818181818182
2025-07-04,777248,17,3,0,30,5,64,AZ,0.17647058823529413,0.0,0.16666666666666666
2025-07-05,777234,7,2,0,10,1,24,AZ,0.2857142857142857,0.0,0.1
2025-07-06,777218,20,2,2,35,7,76,AZ,0.1,0.1,0.2
2025-07-07,777203,15,1,4,18,4,50,AZ,0.06666666666666667,0.26666666666666666,0.2222222222222222
2025-07-08,777185,4,1,1,6,1,16,AZ,0.25,0.25,0.16666666666666666
2025-07-09,777162,3,1,0,5,3,11,AZ,0.3333333333333333,0.0,0.6
2025-07-10,777158,19,3,3,26,6,64,AZ,0.15789473684210525,0.15789473684210525,0.23076923076923078
2025-07-11,777150,23,3,3,46,12,101,AZ,0.13043478260869565,0.13043478260869565,0.2608695652173913
2025-07-12,777131,16,3,0,29,7,54,AZ,0.1875,0.0,0.2413793103448276
2025-07-13,777115,16,3,2,34,6,67,AZ,0.1875,0.125,0.17647058823529413
2025-07-18,777100,12,0,1,18,3,41,AZ,0.0,0.08333333333333333,0.16666666666666666
2025-07-19,777081,12,3,0,19,2,44,AZ,0.25,0.0,0.10526315789473684
2025-07-20,777071,12,4,0,19,7,38,AZ,0.3333333333333333,0.0,0.3684210526315789
2025-07-21,777055,11,4,0,26,9,51,AZ,0.36363636363636365,0.0,0.34615384615384615
2025-07-22,777040,15,3,2,25,5,55,AZ,0.2,0.13333333333333333,0.2
2025-07-23,777032,18,2,1,39,11,70,AZ,0.1111111111111111,0.05555555555555555,0.28205128205128205
2025-07-25,777014,18,3,1,28,8,57,AZ,0.16666666666666666,0.05555555555555555,0.2857142857142857
2025-07-26,777002,5,1,1,11,4,25,AZ,0.2,0.2,0.36363636363636365
2025-07-27,776984,10,0,1,21,4,40,AZ,0.0,0.1,0.19047619047619047
2025-07-28,776973,7,4,0,13,4,27,AZ,0.5714285714285714,0.0,0.3076923076923077
2025-07-29,776953,19,1,0,28,2,61,AZ,0.05263157894736842,0.0,0.07142857142857142
2025-07-30,776940,14,2,1,20,3,38,AZ,0.14285714285714285,0.07142857142857142,0.15
2025-08-01,776914,25,3,2,39,3,82,AZ,0.12,0.08,0.07692307692307693
2025-08-02,776899,10,2,0,18,3,39,AZ,0.2,0.0,0.16666666666666666
2025-08-03,776881,14,3,1,27,8,52,AZ,0.21428571428571427,0.07142857142857142,0.2962962962962963
2025-08-04,776873,11,4,0,16,8,33,AZ,0.36363636363636365,0.0,0.5
2025-08-05,776852,31,2,7,46,3,118,AZ,0.06451612903225806,0.22580645161290322,0.06521739130434782
2025-08-06,776838,23,2,2,38,5,94,AZ,0.08695652173913043,0.08695652173913043,0.13157894736842105
