game_date,game_pk,batters_faced,strikeouts,walks,swings,whiffs,pitches,pitcher_team,home_team,away_team,pitcher_name,mlbam_id,K_pct,BB_pct,whiff_pct
2026-06-03,823456,24,6,1,40,7,90,SD,PHI,SD,Walker Buehler,621111,0.25,0.041666666666666664,0.175
2026-06-08,823289,22,3,2,42,5,86,SD,SD,CIN,Walker Buehler,621111,0.13636363636363635,0.09090909090909091,0.11904761904761904
2026-06-14,824823,21,5,0,46,10,86,SD,BAL,SD,Walker Buehler,621111,0.23809523809523808,0.0,0.21739130434782608
2026-06-20,822885,21,7,1,45,13,87,SD,TEX,SD,Walker Buehler,621111,0.3333333333333333,0.047619047619047616,0.28888888888888886
2026-06-26,823285,20,4,3,25,5,74,SD,SD,LAD,Walker Buehler,621111,0.2,0.15,0.2
2026-07-01,824660,23,6,3,36,11,87,SD,CHC,SD,Walker Buehler,621111,0.2608695652173913,0.13043478260869565,0.3055555555555556
2026-03-28,823811,20,5,1,45,4,91,CWS,MIL,CWS,Sean Burke,680732,0.25,0.05,0.08888888888888889
2026-04-03,824621,22,7,0,50,14,85,CWS,CWS,TOR,Sean Burke,680732,0.3181818181818182,0.0,0.28
2026-04-08,824617,20,3,2,36,4,92,CWS,CWS,BAL,Sean Burke,680732,0.15,0.1,0.1111111111111111
2026-04-15,824615,25,2,3,41,3,92,CWS,CWS,TB,Sean Burke,680732,0.08,0.12,0.07317073170731707
2026-04-21,825099,22,3,1,50,9,101,CWS,AZ,CWS,Sean Burke,680732,0.13636363636363635,0.045454545454545456,0.18
2026-04-26,824612,25,4,0,38,8,76,CWS,CWS,WSH,Sean Burke,680732,0.16,0.0,0.21052631578947367
2026-05-02,823308,23,8,1,47,11,88,CWS,SD,CWS,Sean Burke,680732,0.34782608695652173,0.043478260869565216,0.23404255319148937
2026-05-08,824607,23,4,2,37,8,74,CWS,CWS,SEA,Sean Burke,680732,0.17391304347826086,0.08695652173913043,0.21621621621621623
2026-05-15,824601,23,5,1,43,5,91,CWS,CWS,CHC,Sean Burke,680732,0.21739130434782608,0.043478260869565216,0.11627906976744186
2026-05-20,823134,22,5,3,34,8,83,CWS,SEA,CWS,Sean Burke,680732,0.22727272727272727,0.13636363636363635,0.23529411764705882
2026-05-26,824597,25,8,2,45,9,100,CWS,CWS,MIN,Sean Burke,680732,0.32,0.08,0.2
2026-05-31,824592,21,6,2,46,14,93,CWS,CWS,DET,Sean Burke,680732,0.2857142857142857,0.09523809523809523,0.30434782608695654
2026-06-06,823454,21,7,5,33,11,90,CWS,PHI,CWS,Sean Burke,680732,0.3333333333333333,0.23809523809523808,0.3333333333333333
2026-06-13,824587,22,6,5,31,5,92,CWS,CWS,LAD,Sean Burke,680732,0.2727272727272727,0.22727272727272727,0.16129032258064516
2026-06-18,823533,26,8,1,51,18,89,CWS,NYY,CWS,Sean Burke,680732,0.3076923076923077,0.038461538461538464,0.35294117647058826
2026-06-23,824584,27,6,1,45,12,90,CWS,CWS,CLE,Sean Burke,680732,0.2222222222222222,0.037037037037037035,0.26666666666666666
2026-06-29,824822,23,8,3,46,12,89,CWS,BAL,CWS,Sean Burke,680732,0.34782608695652173,0.13043478260869565,0.2608695652173913
2026-03-30,824539,19,7,3,34,14,78,CIN,CIN,PIT,Chase Burns,695505,0.3684210526315789,0.15789473684210525,0.4117647058823529
2026-04-05,822917,24,9,1,47,20,87,CIN,TEX,CIN,Chase Burns,695505,0.375,0.041666666666666664,0.425531914893617
